"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1990.0","Value_1993.0","Value_1996.0","Value_1999.0","Value_2002.0","Value_2005.0","Value_2008.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","35.9","33.9","29.4","28.6","25.6","20.7","18.1","15.7","13.7","12.8","11.2","10",2015.0,"10","Global monitoring data","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm). Accessed 01 November 2018, World Development Indicators Database.","World aggregate."
"2","Africa","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"5","South America","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"9","Oceania","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"11","Western Africa","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"13","Central America","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"15","Northern Africa","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"17","Middle Africa","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
"18","Southern Africa","1","End poverty in all its forms everywhere","1.1","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day","1.1.1","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","1","SI_POV_DAY1","Proportion of population below international poverty line (%)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","","",""
