"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Value_2018","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","","","","249","249","242","242","249","249","249","249","249","249","249","249","249",2018.0,"249","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"8","Albania","ALB","20.06660928","41.13897007","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","155","155","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140","140",2018.0,"140","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"10","Antarctica","ATA","21.47585697","-80.40897662","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","380","380","380","389","389","389","389","389","389","389","389","389","389","462","462","462","462","462","462",2018.0,"462","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"16","American Samoa","ASM","-170.7187269","-14.30587306","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28",2018.0,"28","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"24","Angola","AGO","17.57817062","-12.33724746","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","220","220","220","220","220","220","220","220","220","220","220","220","220","220","220","220","220","220","220",2018.0,"220","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","18","18","18","18",2018.0,"18","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"31","Azerbaijan","AZE","50.01064725","40.39229544","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","125","125","124","124","124","124","125","124","123","123","123","125","125","125","122","122","124","125","125",2018.0,"125","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"32","Argentina","ARG","-65.14563274","-35.19446255","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","257","257","257","257","257","255","257","257","255","255","257","257","257","257","257","257","257","257","257",2018.0,"257","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"36","Australia","AUS","134.3499412","-25.57717202","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","147","148","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150",2018.0,"150","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"40","Austria","AUT","14.14172472","47.58704857","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183",2018.0,"183","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"44","Bahamas","BHS","-78.05111663","24.69546597","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","40","40","40","40","40","40","40","40","41","41","41","41","41","38","38","38","38","38","39",2018.0,"39","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"48","Bahrain","BHR","50.5490754","26.04407747","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40",2018.0,"40","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"50","Bangladesh","BGD","89.17660788","22.86961622","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","330","330","330","300","300","300","345","","","300","345","345","350","350","297","350","350","350","350",2018.0,"350","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"51","Armenia","ARM","44.93839317","40.29499741","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","131","131","131","131","131","131","131","131","131","131","131","131","131","131","131","131","131","131","105",2018.0,"105","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"52","Barbados","BRB","-59.5346489","13.13648273","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","28","28","28","28","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30",2018.0,"30","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"56","Belgium","BEL","4.660976456","50.64104975","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150",2018.0,"150","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"60","Bermuda","BMU","-64.78155012","32.27881922","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","","","","","","","","","","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","150","150","150","150","150","150","150","150","150","47","47","47","47","47","47","47","47","47","47",2018.0,"47","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130",2018.0,"130","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42",2018.0,"42","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"72","Botswana","BWA","23.81380223","-22.18810073","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","47","47","47","47","47","63","63","63","63","63","63","63","63","63","63","63","63","63","63",2018.0,"63","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"74","Bouvet Island","BVT","3.410732868","-54.43295905","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","","","","","","","","","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","513","513","513","513","513","513","513","513","513","513","513","513","513","513","513","513","513","513","513",2018.0,"513","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"84","Belize","BLZ","-88.70199554","17.19965901","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","29","29","29","29","30","30","30","30","30","32","32","32","32","32","32","32","32","32","32",2018.0,"32","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","","","","","","","","","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","49","49","49","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50",2018.0,"50","Country data","Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.","Annual data as of 1 Feb of given year."
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","5","Achieve gender equality and empower all women and girls","5.5","Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life","5.5.1","Proportion of seats held by women in (a) national parliaments and (b) local governments","1","SG_GEN_PARLNT","Number of seats in national parliaments (number)","2019.Q1.G.01","NUMBER","Number","G","Global","BOTHSEX","Global","","","","","","","","","","","","","","","","","","","","","","","",""
