series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	KG_PER_CON_USD	Kilograms per constant USD	0.19468	0.18859	0.21047	0.2028	0.2011	0.18159	0.17076	0.16055	0.14664	0.14408	0.14498	0.14898	0.12359	0.12789	0.14206	0.12819	0.134142	2015	0.12819	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	KG_PER_CON_USD	Kilograms per constant USD	0.19712	0.19605	0.20076	0.19781	0.19332	0.19273	0.19758	0.20088	0.20376	0.21485	0.20972	0.2193	0.23153	0.23227	0.2383	0.24317	0.232914	2015	0.24317	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	KG_PER_CON_USD	Kilograms per constant USD	0.08194	0.0854	0.10035	0.12241	0.11573	0.08126	0.09032	0.08613	0.09266	0.10624	0.11208	0.11462	0.10828	0.11479	0.11687	0.12005	0.114922	2015	0.12005	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	KG_PER_CON_USD	Kilograms per constant USD	0.77626	0.6683	0.59678	0.58542	0.52307	0.43819	0.33004	0.23969	0.23353	0.18167	0.16626	0.18676	0.19963	0.19239	0.19715	0.19508	0.194202	2015	0.19508	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	KG_PER_CON_USD	Kilograms per constant USD	0.29647	0.28679	0.30383	0.30027	0.30851	0.28904	0.28412	0.2719	0.27879	0.28327	0.26462	0.26036	0.26945	0.25605	0.26995	0.2709	0.265342	2015	0.2709	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	KG_PER_CON_USD	Kilograms per constant USD	0.48324	0.47412	0.47077	0.45701	0.46014	0.45324	0.44325	0.43888	0.43387	0.43194	0.41457	0.39799	0.38743	0.37359	0.35606	0.35352	0.373718	2015	0.35352	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	KG_PER_CON_USD	Kilograms per constant USD	0.205	0.21655	0.21702	0.23144	0.22912	0.22559	0.21116	0.19693	0.19416	0.18499	0.19596	0.18536	0.17604	0.17666	0.16577	0.16826	0.174418	2015	0.16826	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	KG_PER_CON_USD	Kilograms per constant USD	0.53685	0.54068	0.54874	0.53892	0.50043	0.54184	0.5532	0.52256	0.52945	0.51346	0.5137	0.50415	0.49605	0.51008	0.51304	0.50511	0.505686	2015	0.50511	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	KG_PER_CON_USD	Kilograms per constant USD	0.09892	0.11166	0.11492	0.11487	0.11679	0.1178	0.12164	0.12042	0.12447	0.12767	0.13691	0.13744	0.13876	0.13635	0.13537	0.14244	0.138072	2015	0.14244	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	51	44.93839317	40.29499741	ARM	Armenia	1	KG_PER_CON_USD	Kilograms per constant USD	0.38897	0.35879	0.26646	0.26324	0.25214	0.26389	0.23431	0.23807	0.24478	0.23086	0.21418	0.23613	0.25636	0.23927	0.22993	0.20093	0.232524	2015	0.20093	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	52	-59.5346489	13.13648273	BRB	Barbados	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	56	4.660976456	50.64104975	BEL	Belgium	1	KG_PER_CON_USD	Kilograms per constant USD	0.30491	0.30567	0.28102	0.29142	0.27774	0.26304	0.25198	0.23528	0.23791	0.22719	0.237	0.2084	0.20703	0.20978	0.19284	0.20119	0.203848	2015	0.20119	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	60	-64.78155012	32.27881922	BMU	Bermuda	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	64	90.45098484	27.39598568	BTN	Bhutan	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	KG_PER_CON_USD	Kilograms per constant USD	0.19707	0.1858	0.19029	0.20274	0.21205	0.21604	0.2244	0.23451	0.2405	0.24567	0.26085	0.2703	0.28787	0.27239	0.27958	0.26628	0.275284	2015	0.26628	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	KG_PER_CON_USD	Kilograms per constant USD	0.60716	0.57237	0.57242	0.56315	0.55411	0.53203	0.55595	0.55452	0.57781	0.59378	0.59737	0.67631	0.63145	0.61285	0.60954	0.60838	0.627706	2015	0.60838	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	72	23.81380223	-22.18810073	BWA	Botswana	1	KG_PER_CON_USD	Kilograms per constant USD	0.22879	0.2187	0.21478	0.19959	0.19707	0.20312	0.17905	0.17478	0.16728	0.16867	0.12425	0.13911	0.17096	0.16853	0.21032	0.21385	0.180554	2015	0.21385	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	76	-53.08432878	-10.77668561	BRA	Brazil	1	KG_PER_CON_USD	Kilograms per constant USD	0.14969	0.15095	0.14613	0.14169	0.14193	0.13785	0.1341	0.13272	0.13327	0.12442	0.13217	0.13366	0.14213	0.14749	0.1544	0.15232	0.146	2015	0.15232	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	84	-88.70199554	17.19965901	BLZ	Belize	1	KG_PER_CON_USD	Kilograms per constant USD																					
2018.Q2.G.01	EN_ATM_CO2GDP	Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	KG_PER_CON_USD	Kilograms per constant USD																					
