"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","112",2016.0,"112","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","41",2016.0,"41","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","43",2016.0,"43","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","NA",2016.0,"NA","Data nature not available","Global Health Observatory (GHO), World Health Organisation (WHO)"
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","56",2016.0,"56","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","29",2016.0,"29","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"31","Azerbaijan","AZE","50.01064725","40.39229544","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","56",2016.0,"56","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
"32","Argentina","ARG","-65.14563274","-35.19446255","3","Ensure healthy lives and promote well-being for all at all ages","3.9","By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination","3.9.1","Mortality rate attributed to household and ambient air pollution","1","SH_AAP_ASMORT","Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population)","2019.Q1.G.01","PER_100000_POP","Per 100,000 population","G","Global","24",2016.0,"24","Estimated data","Global Health Observatory (GHO), World Health Organisation (WHO)"
