"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","IhrCapacity_Code","IhrCapacity_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR01","National legislation, policy and financing","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","81","75",2017.0,"75"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR02","Coordination and National Focal Point communications","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","84","78",2017.0,"78"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR03","Surveillance","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","87","83",2017.0,"83"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR04","Response","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","85","79",2017.0,"79"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR05","Preparedness","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","75","70",2017.0,"70"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR06","Risk communication","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","81","74",2017.0,"74"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR07","Human resources","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","61","61",2017.0,"61"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR08","Laboratory","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","82","82",2017.0,"82"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR09","Points of entry","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","65","62",2017.0,"62"
"","","","1","World","3","Ensure healthy lives and promote well-being for all at all ages","3.d","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks","3.d.1","International Health Regulations (IHR) capacity and health emergency preparedness","1","SH_IHR_CAPS","International Health Regulations (IHR) capacity, by type of IHR capacity (%)","2019.Q1.G.01","IHR10"," Zoonotic events","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","NA","NA","","","","","","","Global Health Observatory (GHO), World Health Organisation (WHO)","Global Health Observatory (GHO), World Health Organisation (WHO)","","","","","","","","","","","","","","","89","83",2017.0,"83"
