"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Sex_Code","Sex_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","FEMALE","Female","123.8","120.4","116.9","113.2","109.4","105.5","101.5","97.4","93.3","89.4","85.5","81.7","78.2","74.8","71.7","68.8","66.2","63.7",2017.0,"63.7","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","BOTHSEX","Both sexes","128.8","125.3","121.7","117.9","114.1","110.1","106.1","102","97.9","93.9","90","86.2","82.6","79.2","76","73.1","70.4","67.9",2017.0,"67.9","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"4","Afghanistan","AFG","66.02688198","33.83160199","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","MALE","Male","133.5","129.9","126.2","122.4","118.5","114.5","110.5","106.4","102.2","98.2","94.2","90.3","86.7","83.3","80.1","77.2","74.4","71.8",2017.0,"71.8","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","FEMALE","Female","22.2","20.8","19.4","18","16.8","15.6","14.5","13.5","12.6","11.7","11","10.3","9.7","9.3","8.9","8.6","8.3","8.1",2017.0,"8.1","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","BOTHSEX","Both sexes","24.5","22.9","21.4","19.9","18.5","17.2","16","14.8","13.8","12.8","12","11.3","10.7","10.1","9.7","9.4","9.1","8.8",2017.0,"8.8","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"8","Albania","ALB","20.06660928","41.13897007","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","MALE","Male","26.7","25","23.3","21.7","20.2","18.7","17.4","16.1","15","13.9","13","12.2","11.5","10.9","10.5","10.1","9.7","9.5",2017.0,"9.5","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","MALE","Male","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","MALE","Male","42.5","41.6","40.7","38.9","37.1","35.5","33.8","32.4","31","29.9","28.9","28.1","27.5","27","26.7","26.4","25.9","25.5",2017.0,"25.5","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","BOTHSEX","Both sexes","39.7","38.9","37.8","36.5","35","33.5","32.1","30.7","29.4","28.3","27.4","26.7","26.1","25.7","25.3","24.9","24.5","24",2017.0,"24","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"12","Algeria","DZA","2.678164227","28.15940032","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","FEMALE","Female","36.7","36","34.8","34","32.8","31.5","30.2","28.9","27.8","26.7","25.8","25.2","24.7","24.4","23.9","23.5","23","22.5",2017.0,"22.5","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","BOTHSEX","Both sexes","","","","","","","","","","","","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","FEMALE","Female","","","","","","","","","","","","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","MALE","Male","","","","","","","","","","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","MALE","Male","5.4","5.3","5.1","4.9","4.8","4.7","4.6","4.5","4.4","4.4","4.3","4.2","4.1","4.1","4","3.9","3.7","3.6",2017.0,"3.6","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","FEMALE","Female","4.5","4.4","4.2","4.1","4","3.9","3.8","3.8","3.7","3.6","3.6","3.5","3.4","3.4","3.3","3.2","3.1","3",2017.0,"3","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"20","Andorra","AND","1.576257417","42.54548611","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","BOTHSEX","Both sexes","5","4.8","4.7","4.5","4.4","4.3","4.2","4.2","4.1","4","3.9","3.9","3.8","3.7","3.6","3.5","3.4","3.3",2017.0,"3.3","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","BOTHSEX","Both sexes","206.3","200.3","193.4","185.7","177","167.8","158.2","148.7","139.3","130","121.3","113.2","105.8","99.2","93.6","88.9","84.6","81.1",2017.0,"81.1","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
"24","Angola","AGO","17.57817062","-12.33724746","3","Ensure healthy lives and promote well-being for all at all ages","3.2","By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births","3.2.1","Under-five mortality rate","1","SH_DYN_MORT","Under-five mortality rate, by sex (deaths per 1,000 live births)","2019.Q1.G.01","PER_1000_LIVE_BIRTHS","Per 1,000 live births","<5Y","under 5 years old","G","Global","FEMALE","Female","194.5","188.9","182.1","174.7","166.5","157.6","148.4","139.2","130.1","121.4","113.1","105.5","98.2","92.2","86.7","82.4","78.3","74.9",2017.0,"74.9","Estimated data","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2018."
