"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Age_Code","Age_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","73.1",2017.0,"73.1","Estimated data","DHS, MICS, other national surveys, censuses and vital registration systems","Based on 153 countries with a population coverage of 83 per cent"
"2","Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"5","South America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"9","Oceania","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","98.0",2017.0,"98.0","Estimated data","DHS, MICS, other national surveys, censuses and vital registration systems","Based on 6 countries with a population coverage of 64 per cent"
"11","Western Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"13","Central America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"14","Eastern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"15","Northern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","91.9",2017.0,"91.9","Estimated data","DHS, MICS, other national surveys, censuses and vital registration systems","Based on 5 countries with a population coverage of 98 per cent"
"17","Middle Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"18","Southern Africa","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"19","Americas","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
"21","Northern America","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","100.0",2017.0,"100.0","Estimated data","DHS, MICS, other national surveys, censuses and vital registration systems","Based on 2 countries with a population coverage of 100 per cent"
"29","Caribbean","16","Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels","16.9","By 2030, provide legal identity for all, including birth registration","16.9.1","Proportion of children under 5 years of age whose births have been registered with a civil authority, by age","1","SG_REG_BRTH","Proportion of children under 5 years of age whose births have been registered with a civil authority (% of children under 5 years of age)","2019.Q1.G.01","NUM_U5_M","Millions of children aged 0-59 months","<5Y","under 5 years old","G","Global","","","","","",""
