series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of mobile technology	Units description	Type of mobile technology description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	AL3G	Percentage	at least 3g mobile network							28	35	40					28	35	40	40	35.75	2016	40	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PERCENT	AL2G	Percentage	at least 2g mobile network								72	75	80	80	85	88	88.6	89	89.2	89.4	88.84	2016	89.4	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	0	0	0	2016	0	ITU estimate. 	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	AL3G	Percentage	at least 3g mobile network					85.6	99	99	99	99			85.6	99	99	99	99	99	99	2016	99	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	8	20.06660928	41.13897007	ALB	Albania	2	PERCENT	AL2G	Percentage	at least 2g mobile network		84	90	90.4	89	91	96.5	96.5	99.3		98.2	99	99	100	99.8	100	99.8	99.72	2016	99.8	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	8	20.06660928	41.13897007	ALB	Albania	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	35	80.2	38.4	2016	80.2	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	AL3G	Percentage	at least 3g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PERCENT	AL2G	Percentage	at least 2g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	PERCENT	AL4G	Percentage	at least 4g mobile network																						
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	AL3G	Percentage	at least 3g mobile network							6	23.23	46					6	23.23	46	83.36	39.6475	2016	83.36	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	12	2.678164227	28.15940032	DZA	Algeria	2	PERCENT	AL2G	Percentage	at least 2g mobile network	40	40	40	40	40	41.52	63.6	81.5						98	98	99.19	98	98.2975	2016	98	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_MOB_NTWK	Proportion of population covered by a mobile network, by technology (%)	12	2.678164227	28.15940032	DZA	Algeria	3	PERCENT	AL4G	Percentage	at least 4g mobile network															0	0	3.62	1.20666666666667	2016	3.62	Ministère de la  Poste et des Technologies de l'Information et de la Communication	
