series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Sex	Units	Age description	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	193.77567			151.83424		117.44485	126.22665	103	90	80		125.681		87							2013	87	Afghanistan 2015 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	8	20.06660928	41.13897007	ALB	Albania	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	17.10799	35	13.80428	15.93327	21.3614	20.15606	17.66497	17	18.43649	18.99386	19.41251	20.53037	20.94788	20.44447	21.90788	20.21265				21.060265	2015	20.21265	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population																								
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	12	2.678164227	28.15940032	DZA	Algeria	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	6					4.4		9	8.8	9.6	10.2	10.7	11.8	12.4							2013	12.4	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	54.6	49.1	48.5	43.2	49.8	37.7	39.5	31.9	40.6	38.4	34.1	38.4	39.7	42.9	46.8	46.9	40.8			44.8333333333333	2016	40.8	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	20	1.576257417	42.54548611	AND	Andorra	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	9.113	9.375	7.97872	8.2435	5.35714	9.24321	10.5673	5.80169	8.42993	4.91266	4.38356	5.05902	2.87522	4.50197	5.77125	3.05344				4.412345	2015	3.05344	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	24	17.57817062	-12.33724746	AGO	Angola	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population		122.4		151		166			188	190.9					163					163	2014	163	Angola 2015-2016 Demographic and Health Survey	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	59.4	66.8																			2001	66.8	Antigua and Barbuda 2001 Census	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	29	26.4	26.2	27.7	35	41.1	44	46	50.2	49.5	60	56.7	53.3	47.2	52.9	52.4	52.8			52.7	2016	52.8	Registration National Statistics	C
2018.Q2.G.01	SP_DYN_ADKL	Adolescent birth rate (per 1,000 women aged 15-19 years)	32	-65.14563274	-35.19446255	ARG	Argentina	1	15-19	FEMALE	PER_1000_POP	15 to 19 years old	Female	Per 1,000 population	64.6561	60.90305	61.31784	57.29657	63.42526	63.38809	62.49957	63.91456	66.6713	67.35004	68.2	68.62092	66.40815	68.07624	68.26884	65.1				66.68442	2015	65.1	Estimate National statistics	E
