series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Education level	Sex description	Units description	Education level description	2000	2001	2003	2006	2009	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	BOTHSEX	PERCENT	LOWSEC	Both	Percentage	lower secondary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	FEMALE	PERCENT	LOWSEC	Female	Percentage	lower secondary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	MALE	PERCENT	LOWSEC	Male	Percentage	lower secondary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	4	BOTHSEX	PERCENT	GRAD23	Both	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	5	FEMALE	PERCENT	GRAD23	Female	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	6	MALE	PERCENT	GRAD23	Male	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	7	MALE	PERCENT	PRIMAR	Male	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	8	BOTHSEX	PERCENT	PRIMAR	Both	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	9	FEMALE	PERCENT	PRIMAR	Female	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	1	BOTHSEX	PERCENT	LOWSEC	Both	Percentage	lower secondary	29.64437				43.33176		47.66456			49.72273	48.693645	2015	49.72273	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	2	FEMALE	PERCENT	LOWSEC	Female	Percentage	lower secondary	39.56				56.36		50.72			62.31	56.515	2015	62.31	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	3	MALE	PERCENT	LOWSEC	Male	Percentage	lower secondary	19.4				30.95		44.8			37.09	40.945	2015	37.09	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	4	BOTHSEX	PERCENT	GRAD23	Both	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	5	FEMALE	PERCENT	GRAD23	Female	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	6	MALE	PERCENT	GRAD23	Male	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	7	MALE	PERCENT	PRIMAR	Male	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	8	BOTHSEX	PERCENT	PRIMAR	Both	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	8	20.06660928	41.13897007	ALB	Albania	9	FEMALE	PERCENT	PRIMAR	Female	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	BOTHSEX	PERCENT	LOWSEC	Both	Percentage	lower secondary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	FEMALE	PERCENT	LOWSEC	Female	Percentage	lower secondary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	MALE	PERCENT	LOWSEC	Male	Percentage	lower secondary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	4	BOTHSEX	PERCENT	GRAD23	Both	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	5	FEMALE	PERCENT	GRAD23	Female	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	6	MALE	PERCENT	GRAD23	Male	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	7	MALE	PERCENT	PRIMAR	Male	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	8	BOTHSEX	PERCENT	PRIMAR	Both	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	9	FEMALE	PERCENT	PRIMAR	Female	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	1	BOTHSEX	PERCENT	LOWSEC	Both	Percentage	lower secondary										21.03063	21.03063	2015	21.03063	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	2	FEMALE	PERCENT	LOWSEC	Female	Percentage	lower secondary										27.68	27.68	2015	27.68	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	3	MALE	PERCENT	LOWSEC	Male	Percentage	lower secondary										15.07	15.07	2015	15.07	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	4	BOTHSEX	PERCENT	GRAD23	Both	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	5	FEMALE	PERCENT	GRAD23	Female	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	6	MALE	PERCENT	GRAD23	Male	Percentage	grades 2/3															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	7	MALE	PERCENT	PRIMAR	Male	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	8	BOTHSEX	PERCENT	PRIMAR	Both	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	12	2.678164227	28.15940032	DZA	Algeria	9	FEMALE	PERCENT	PRIMAR	Female	Percentage	primary															
2018.Q2.G.01	SE_REA_PROF	Minimum proficiency in reading, by education level and sex (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	BOTHSEX	PERCENT	LOWSEC	Both	Percentage	lower secondary															
