series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	CON_USD	Constant USD	123.99585	134.974	141.56807	216.94492	236.4056	167.26675	201.00577	192.638222	2016	201.00577	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	CON_USD	Constant USD	4.1037	4.22705	2.33628	0.87946	1.0463	0.51649	0.29309	1.014324	2016	0.29309	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	CON_USD	Constant USD												
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	CON_USD	Constant USD	1.47008	2.65833	0.45053	0.2697	0.14317	0.29889	0.69721	0.3719	2016	0.69721	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	CON_USD	Constant USD												
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	CON_USD	Constant USD												
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	CON_USD	Constant USD	54.03926	36.69627	63.65563	66.18215	45.64555	49.79982	43.15511	53.687652	2016	43.15511	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	CON_USD	Constant USD						0.00383		0.00383	2015	0.00383	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	CON_USD	Constant USD	8.5457	12.69943	4.04323	9.59694	7.58407	5.24759	3.53076	6.000518	2016	3.53076	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	CON_USD	Constant USD	16.56352	5.67511	0.78604	-3.99676	0.63796	-53.57909	-10.0466	-13.23969	2016	-10.0466	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	CON_USD	Constant USD												
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	CON_USD	Constant USD												
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	CON_USD	Constant USD												
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	CON_USD	Constant USD												
2018.Q2.G.01	DC_TOF_HLTHNT	Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2016 United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	CON_USD	Constant USD	173.32516	145.51068	121.30086	246.98106	136.6126	210.2951	195.5882	182.155564	2016	195.5882	Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
