series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	4	66.02688198	33.83160199	AFG	Afghanistan	1	FEMALE	PERCENT	Female	Percentage							27.3092	27.3092	27.686	27.686	27.3092	27.7108	27.7108	27.7108	27.7108	27.7108	27.7108	27.7108	27.7108	27.7108	2018	27.7108	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	8	20.06660928	41.13897007	ALB	Albania	1	FEMALE	PERCENT	Female	Percentage	5.1613	5.1613	5.7143	5.7143	5.7143	6.4286	7.1429	7.1429	7.1429	7.1429	16.4286	16.4286	15.7143	15.7143	20	20.7143	20.7143	22.8571	27.8571	22.42856	2018	27.8571	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	10	21.47585697	-80.40897662	ATA	Antarctica	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	12	2.678164227	28.15940032	DZA	Algeria	1	FEMALE	PERCENT	Female	Percentage	3.1579	3.4211	3.4211	6.1697	6.1697	6.1697	6.1697	6.1697	7.7121	7.7121	7.7121	7.7121	7.9692	31.6017	31.6017	31.6017	31.6017	31.6017	25.7576	30.43288	2018	25.7576	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	FEMALE	PERCENT	Female	Percentage																								
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	20	1.576257417	42.54548611	AND	Andorra	1	FEMALE	PERCENT	Female	Percentage	7.1429	7.1429	14.2857	14.2857	14.2857	14.2857	28.5714	28.5714	25	25	35.7143	35.7143	50	50	50	50	39.2857	32.1429	32.1429	40.7143	2018	32.1429	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	24	17.57817062	-12.33724746	AGO	Angola	1	FEMALE	PERCENT	Female	Percentage	15.4545	15.4545	15.4545	15.4545	15.4545	15	15	15	15	37.2727	38.6364	38.6364	38.1818	34.0909	36.8182	36.8182	36.8182	38.1818	30.4545	35.81818	2018	30.4545	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	FEMALE	PERCENT	Female	Percentage	5.2632	5.2632	5.2632	5.2632	5.2632	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	10.5263	11.1111	11.1111	11.1111	11.1111	10.99414	2018	11.1111	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	FEMALE	PERCENT	Female	Percentage	10.4	10.4	10.4839	10.4839	10.4839	10.4839	12	11.2903	11.3821	11.3821	11.3821	16	16	16	15.5738	15.5738	16.9355	16.8	16.8	16.33662	2018	16.8	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	32	-65.14563274	-35.19446255	ARG	Argentina	1	FEMALE	PERCENT	Female	Percentage	28.0156	26.4591	30.7393	30.7393	30.7393	33.7255	36.1868	35.0195	40	40	38.5214	38.5214	37.3541	37.3541	36.5759	36.1868	35.7977	38.9105	38.9105	37.27628	2018	38.9105	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	36	134.3499412	-25.57717202	AUS	Australia	1	FEMALE	PERCENT	Female	Percentage	22.449	22.973	25.3333	25.3333	25.3333	24.6667	24.6667	24.6667	26.6667	26.6667	27.3333	24.6667	24.6667	24.6667	26	26.6667	26.6667	28.6667	28.6667	27.33336	2018	28.6667	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	40	14.14172472	47.58704857	AUT	Austria	1	FEMALE	PERCENT	Female	Percentage	26.776	26.776	26.776	33.8798	33.8798	33.8798	33.8798	32.2404	32.7869	27.3224	27.8689	27.8689	27.8689	27.8689	32.2404	30.6011	30.6011	30.6011	34.4262	31.69398	2018	34.4262	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	44	-78.05111663	24.69546597	BHS	Bahamas	1	FEMALE	PERCENT	Female	Percentage	15	15	15	20	20	20	20	20	12.1951	12.1951	12.1951	12.1951	12.1951	13.1579	13.1579	13.1579	13.1579	13.1579	12.8205	13.09042	2018	12.8205	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	48	50.5490754	26.04407747	BHR	Bahrain	1	FEMALE	PERCENT	Female	Percentage				0	0	0	0	2.5	2.5	2.5	2.5	2.5	10	10	10	7.5	7.5	7.5	7.5	8	2018	7.5	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	50	89.17660788	22.86961622	BGD	Bangladesh	1	FEMALE	PERCENT	Female	Percentage	9.0909	1.8182	1.8182	2	2	2	14.7826			6.3333	18.5507	18.5507	19.7143	19.7143	6.3973	20	20	20.2857	20.2857	17.39374	2018	20.2857	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	51	44.93839317	40.29499741	ARM	Armenia	1	FEMALE	PERCENT	Female	Percentage	3.0534	3.0534	3.0534	3.0534	4.5802	5.3435	5.3435	5.3435	9.1603	8.3969	9.1603	9.1603	8.3969	10.687	10.687	10.687	10.687	9.9237	18.0952	12.01598	2018	18.0952	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARL	Proportion of seats held by women in national parliaments (% of total number of seats)	52	-59.5346489	13.13648273	BRB	Barbados	1	FEMALE	PERCENT	Female	Percentage	10.7143	10.7143	10.7143	10.7143	13.3333	13.3333	13.3333	13.3333	10	10	10	10	10	10	16.6667	16.6667	16.6667	16.6667	16.6667	16.6667	2018	16.6667	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
