series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	MP	Percentage	P	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	2018	6.14129	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PERCENT	LB	Percentage	Lower bound	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	2018	6.14129	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PERCENT	UB	Percentage	Upper bound	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	0.04239	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	6.14129	2018	6.14129	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	MP	Percentage	P	26.00542	26.00542	26.00542	27.48164	31.82987	43.98398	45.15898	45.65881	49.97903	49.97903	58.81384	58.81384	58.81384	66.96378	66.97754	66.97754	66.97754	66.97754	66.97754	66.97754	2018	66.97754	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	2	PERCENT	LB	Percentage	Lower bound	26.00542	26.00542	26.00542	27.48164	31.82987	43.98398	45.15898	45.65881	49.97903	49.97903	58.81384	58.81384	58.81384	66.96378	66.97754	66.97754	66.97754	66.97754	66.97754	66.97754	2018	66.97754	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	3	PERCENT	UB	Percentage	Upper bound	26.00542	26.00542	26.00542	27.48164	31.82987	43.98398	45.15898	45.65881	49.97903	49.97903	58.81384	58.81384	58.81384	66.96378	66.97754	66.97754	66.97754	66.97754	66.97754	66.97754	2018	66.97754	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	MP	Percentage	P	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.99499	10.05107	10.05107	10.05107	10.05107	9.639854	2018	10.05107	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PERCENT	LB	Percentage	Lower bound	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	6.27099	7.13292	10.05107	10.05107	10.05107	10.05107	9.46744	2018	10.05107	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	PERCENT	UB	Percentage	Upper bound	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.13306	7.99499	10.05107	10.05107	10.05107	10.05107	9.639854	2018	10.05107	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	MP	Percentage	P	24.57438	30.84545	30.84545	34.70073	38.42501	38.42501	38.42501	38.42501	38.42501	38.42501	38.42501	38.81398	38.81398	38.81398	38.81398	38.81398	38.81398	38.81398	38.81398	38.81398	2018	38.81398	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
