"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Freq_Code","Freq_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","82.891749",2017.0,"82.891749","Data nature not available","Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP)."
"2","Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"5","South America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"9","Oceania","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"14","Eastern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"15","Northern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"17","Middle Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"18","Southern Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"19","Americas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"21","Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"29","Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"30","Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
"34","Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.15","Respect each country's policy space and leadership to establish and implement policies for poverty eradication and sustainable development","17.15.1","Extent of use of country-owned results frameworks and planning tools by providers of development cooperation","1","SG_PLN_PRVNDI","Proportion of new development interventions drawn from country-led result frameworks - data by provider (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","",""
