ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BGR,25.23763153,42.75731323,100,Bulgaria,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,Estimated from individual income data. Growth rates are for the period of 2009-2014.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,2.11,,,2014.0,2.11
BLR,28.04940161,53.54193075,112,Belarus,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,Estimated from individual consumption data. Growth rates are for the period of 2011-2016.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,3.46,2016.0,3.46
CMR,12.7419827,5.692387031,120,Cameroon,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,Estimated from individual consumption data. Growth rates are for the period of 2007-2014.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,3.71,,,2014.0,3.71
LKA,80.70489654,7.614693343,144,Sri Lanka,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,Estimated from individual consumption data. Growth rates are for the period of 2009-2012.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,3.75,,,,,2012.0,3.75
CHL,-71.23029019,-35.2652885,152,Chile,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,Estimated from individual income data. Growth rates are for the period of 2009-2015.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,5.48,,2015.0,5.48
CHN,104.1403375,32.30955217,156,China,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,Estimated from grouped consumption data. Growth rates are for the period of 2008-2012.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,8.23,,,,,2012.0,8.23
COL,-73.07446751,3.888209046,170,Colombia,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,Estimated from individual income data. Growth rates are for the period of 2010-2015.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,1.71,,2015.0,1.71
CRI,-84.19712782,9.970998683,188,Costa Rica,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,Estimated from individual income data. Growth rates are for the period of 2010-2015.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,1.92,,2015.0,1.92
HRV,17.95874553,45.45172212,191,Croatia,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,Estimated from individual income data. Growth rates are for the period of 2009-2014.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,-2.44,,,2014.0,-2.44
CYP,33.22285964,35.05659437,196,Cyprus,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,Estimated from individual income data. Growth rates are for the period of 2009-2014.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,-3.1,,,2014.0,-3.1
CZE,15.33151382,49.73913871,203,Czechia,10,Reduce inequality within and among countries,10.1,"By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average",10.1.1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,Estimated from individual income data. Growth rates are for the period of 2009-2014.,,,,,,,G,,,,,,,World Bank,,,,,,,,,,,,,,0.2,,,2014.0,0.2
