GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Sex_Code,Sex_Desc,EducationLevel_Code,EducationLevel_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,MALE,Male,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2000.0,,32.79,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2000.0,,36.61129,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,FEMALE,Female,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2000.0,,40.27,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,MALE,Male,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2009.0,,30.93,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2009.0,,32.26541,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,FEMALE,Female,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2009.0,,33.67,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,FEMALE,Female,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2012.0,,39.7,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,MALE,Male,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2012.0,,38.99,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2012.0,,39.33503,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes",4.1.1,"Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",1,SE_MAT_PROF,"Minimum proficiency in mathematics, by education level and sex (%)",2019.Q1.G.01,BOTHSEX,Both sexes,LOWSEC,Lower secondary,G,Global,C,Country data,PERCENT,Percentage,8,Albania,2015.0,,46.71703,Float,Programme for International Student Assessment (OECD),,ALB,20.06660928,41.13897007
