"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","1.01267","1.01115","1.0107","1.00705","1.00662","1.00422","0.99377","0.99679","0.99119",2016.0,"0.99119","Estimated data","UNESCO Institute for Statistics"
"2","Africa","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"5","South America","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","1.06703","1.06778","1.07162","1.06258","1.06014","1.05975","1.04425","1.05117","1.04837","1.05103","1.04948","1.04212","1.04202","1.04792","1.05218","1.0465","1.03585",2016.0,"1.03585","[2014-2015]: Country data // [2000-2013,2016]: Estimated data","UNESCO Institute for Statistics"
"11","Western Africa","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"13","Central America","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"14","Eastern Africa","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"15","Northern Africa","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","0.82339","0.87859","0.84447","0.86281","0.88196","0.88324","0.9151","0.92442","0.93374","0.93951","0.94612","0.95434","0.95953","0.96117","0.957","0.94625","0.95673",2016.0,"0.95673","[2003]: Country data // [2000-2002,2004-2016]: Estimated data","UNESCO Institute for Statistics"
"17","Middle Africa","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"18","Southern Africa","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"19","Americas","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"21","Northern America","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","0.9869","0.76008","1.01209","0.86403","1.03219","0.99181","0.98523","0.98584","1.04306","0.98477","1.02419","1.01329","0.99897","1.01203","0.99158","0.98808","0.98824",2016.0,"0.98824","[2000-2015]: Country data // [2016]: Estimated data","UNESCO Institute for Statistics"
"29","Caribbean","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","4","Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all","4.5","By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations","4.5.1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","1","SE_PRE_GPIPARTN","Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)","2019.Q1.G.01","Ratio","Ratio","G","Global","","","","","","","","","","","","","","","","","","","","",""
