series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	LB	Percentage	Lower bound																								
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PERCENT	MP	Percentage	P																								
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PERCENT	UB	Percentage	Upper bound																								
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	LB	Percentage	Lower bound	14.47584	14.47584	14.47586	17.72964	30.23081	42.21482	42.71216	44.14915	44.14915	44.14915	69.54922	69.54922	69.54922	78.62002	78.62002	78.62002	78.62002	78.62002	78.62002	78.62002	2018	78.62002	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	2	PERCENT	MP	Percentage	P	14.47584	14.47584	14.47586	17.72964	30.23081	42.21482	42.71216	44.14915	44.14915	44.14915	69.54922	69.54922	69.54922	78.62002	78.62002	78.62002	78.62002	78.62002	78.62002	78.62002	2018	78.62002	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	3	PERCENT	UB	Percentage	Upper bound	14.47584	14.47584	14.47586	17.72964	30.23081	42.21482	42.71216	44.14915	44.14915	44.14915	69.54922	69.54922	69.54922	78.62002	78.62002	78.62002	78.62002	78.62002	78.62002	78.62002	2018	78.62002	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	LB	Percentage	Lower bound	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	5.10427	6.62405	8.70124	8.70124	8.70124	8.70124	8.285802	2018	8.70124	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PERCENT	MP	Percentage	P	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	7.13166	8.70124	8.70124	8.70124	8.70124	8.387324	2018	8.70124	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	PERCENT	UB	Percentage	Upper bound	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	6.1195	7.13166	8.70124	8.70124	8.70124	8.70124	8.387324	2018	8.70124	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_MRN_MPA	Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	LB	Percentage	Lower bound	21.55821	21.55821	21.55821	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	54.89155	2018	54.89155	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
