series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Sex	Units	Sex description	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	BOTHSEX	PERCENT	Both	Percentage																							
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	FEMALE	PERCENT	Female	Percentage																							
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	MALE	PERCENT	Male	Percentage																							
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	8	20.06660928	41.13897007	ALB	Albania	1	BOTHSEX	PERCENT	Both	Percentage	54.33683	56.85468		63.96334	60.98277				65.23252	72.4947	74.32148	78.93339	85.7894			89.48741			89.48741	2015	89.48741	UNESCO Institute for Statistics	C
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	8	20.06660928	41.13897007	ALB	Albania	2	FEMALE	PERCENT	Female	Percentage		60.57867		66.08407	61.87942				64.61083	72.40592	73.18656	78.32733	84.90566			89.01304			89.01304	2015	89.01304	UNESCO Institute for Statistics	C
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	8	20.06660928	41.13897007	ALB	Albania	3	MALE	PERCENT	Male	Percentage		53.36702		61.99768	60.15118				65.80822	72.57646	75.35806	79.48127	86.5902			89.92201			89.92201	2015	89.92201	UNESCO Institute for Statistics	C
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	BOTHSEX	PERCENT	Both	Percentage																							
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	FEMALE	PERCENT	Female	Percentage																							
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	MALE	PERCENT	Male	Percentage																							
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	12	2.678164227	28.15940032	DZA	Algeria	1	BOTHSEX	PERCENT	Both	Percentage				8.63972	11.26632	13.28957	33.94164		43.31119		88.74715									2010	88.74715	UNESCO Institute for Statistics	C
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	12	2.678164227	28.15940032	DZA	Algeria	2	FEMALE	PERCENT	Female	Percentage				8.5725	11.31018	12.83344	33.77253		42.06422		86.32549									2010	86.32549	UNESCO Institute for Statistics	C
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	12	2.678164227	28.15940032	DZA	Algeria	3	MALE	PERCENT	Male	Percentage				8.70416	11.2243	13.7265	34.1037		44.50722		91.07299									2010	91.07299	UNESCO Institute for Statistics	C
2018.Q2.G.01	SE_PRE_PARTN	Participation rate in organized learning (one year before the official primary entry age), by sex (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	BOTHSEX	PERCENT	Both	Percentage																							
