series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of skill	Units description	Type of skill description	2012	2013	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	1	Ratio	LITE	Ratio	literacy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	2	Ratio	NUME	Ratio	numeracy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	8	20.06660928	41.13897007	ALB	Albania	1	Ratio	LITE	Ratio	literacy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	8	20.06660928	41.13897007	ALB	Albania	2	Ratio	NUME	Ratio	numeracy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	1	Ratio	LITE	Ratio	literacy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	2	Ratio	NUME	Ratio	numeracy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	12	2.678164227	28.15940032	DZA	Algeria	1	Ratio	LITE	Ratio	literacy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	12	2.678164227	28.15940032	DZA	Algeria	2	Ratio	NUME	Ratio	numeracy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	Ratio	LITE	Ratio	literacy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	Ratio	NUME	Ratio	numeracy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	20	1.576257417	42.54548611	AND	Andorra	1	Ratio	LITE	Ratio	literacy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	20	1.576257417	42.54548611	AND	Andorra	2	Ratio	NUME	Ratio	numeracy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	24	17.57817062	-12.33724746	AGO	Angola	1	Ratio	LITE	Ratio	literacy								
2018.Q2.G.01	SE_GPI_FUNPROF	Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio)	24	17.57817062	-12.33724746	AGO	Angola	2	Ratio	NUME	Ratio	numeracy								
