GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2000.0,,0.09,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2001.0,,0.08,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2002.0,,0.08,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2003.0,,0.08,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2004.0,,0.08,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2005.0,,0.07,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2006.0,,0.08,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2007.0,,0.08,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2008.0,,0.08,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.2,"Developed countries to implement fully their official development assistance commitments, including the commitment by many developed countries to achieve the target of 0.7 per cent of gross national income for official development assistance (ODA/GNI) to developing countries and 0.15 to 0.20 per cent of ODA/GNI to least developed countries; ODA providers are encouraged to consider setting a target to provide at least 0.20 per cent of ODA/GNI to least developed countries",17.2.1,"Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",1,DC_ODA_SIDSG,"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2019.Q1.G.01,G,Global,NA,Data nature not available,PERCENT,Percentage,36,Australia,2009.0,,0.07,Float,"DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Gross disbursements; Based on OECD, DAC database, 2018; Including imputed multilateral",AUS,134.3499412,-25.57717202
