"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2005","Footnotes_2010","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2005","Nature_Code_2010","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2005","Source_2010","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2005","TimeDetail_2010","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2005","Value_2010","Value_2015","Value_2016","Latest_Year","Latest_Value"
"","","","1","World","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","49","53","56","59","59",2016.0,"59"
"BGR","25.23763153","42.75731323","100","Bulgaria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","65","80","86","88","89",2016.0,"89"
"MMR","96.51752295","21.19332882","104","Myanmar","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","<5","7","11","17","18",2016.0,"18"
"BDI","29.89080992","-3.366387428","108","Burundi","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","<5","<5","<5","<5","<5",2016.0,"<5"
"BLR","28.04940161","53.54193075","112","Belarus","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","94",">95",">95",">95",">95",2016.0,">95"
"KHM","104.922836","12.71163737","116","Cambodia","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","<5","7","11","16","18",2016.0,"18"
"DZA","2.678164227","28.15940032","12","Algeria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","86","91","92","93","93",2016.0,"93"
"CMR","12.7419827","5.692387031","120","Cameroon","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","10","14","18","22","23",2016.0,"23"
"CAN","-101.6575058","57.72360191","124","Canada","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","",">95",">95",">95",">95",">95",2016.0,">95"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.2","Proportion of population with primary reliance on clean fuels and technology","1","EG_EGY_CLEAN","Proportion of population with primary reliance on clean fuels and technology (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","E","E","E","E","E","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","Global Health Observatory (GHO), World Health Organisation (WHO).","","","","","","57","63","67","71","71",2016.0,"71"
