"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","Sex_Code","Sex_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2011","Footnotes_2014","Footnotes_2017","Nature_Code_2011","Nature_Code_2014","Nature_Code_2017","Source_2011","Source_2014","Source_2017","TimeDetail_2011","TimeDetail_2014","TimeDetail_2017","Value_2011","Value_2014","Value_2017","Latest_Year","Latest_Value"
"","","","1","World","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","G","G","G","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","50.63","62.00","68.52",2017.0,"68.52"
"","","","1","World","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","FEMALE","Female","G","Global","PERCENT","Percentage","","","","G","G","G","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","46.62","58.47","64.85",2017.0,"64.85"
"","","","1","World","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","MALE","Male","G","Global","PERCENT","Percentage","","","","G","G","G","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","54.75","65.58","72.27",2017.0,"72.27"
"BGR","25.23763153","42.75731323","100","Bulgaria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","G","G","G","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","52.82","62.99","72.20",2017.0,"72.20"
"BGR","25.23763153","42.75731323","100","Bulgaria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","FEMALE","Female","G","Global","PERCENT","Percentage","","","","G","G","G","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","55.45","63.16","73.64",2017.0,"73.64"
"BGR","25.23763153","42.75731323","100","Bulgaria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","MALE","Male","G","Global","PERCENT","Percentage","","","","G","G","G","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","49.90","62.80","70.62",2017.0,"70.62"
"MMR","96.51752295","21.19332882","104","Myanmar","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","Chin, Kayah, and Kachin states were excluded. The excluded areas represent less than 5% of the population.","Global Findex data exclude the states of Chin, Kachin, and Kayah, representing less than 5 percent of the population.","","G","G","","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","","22.78","25.99",2017.0,"25.99"
"MMR","96.51752295","21.19332882","104","Myanmar","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","FEMALE","Female","G","Global","PERCENT","Percentage","","Chin, Kayah, and Kachin states were excluded. The excluded areas represent less than 5% of the population.","Global Findex data exclude the states of Chin, Kachin, and Kayah, representing less than 5 percent of the population.","","G","G","","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","","17.40","25.98",2017.0,"25.98"
"MMR","96.51752295","21.19332882","104","Myanmar","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","MALE","Male","G","Global","PERCENT","Percentage","","Chin, Kayah, and Kachin states were excluded. The excluded areas represent less than 5% of the population.","Global Findex data exclude the states of Chin, Kachin, and Kayah, representing less than 5 percent of the population.","","G","G","","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","","28.60","26.01",2017.0,"26.01"
"BDI","29.89080992","-3.366387428","108","Burundi","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.10","Strengthen the capacity of domestic financial institutions to encourage and expand access to banking, insurance and financial services for all","8.10.2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider","1","FB_BNK_ACCSS","Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older)","2019.Q1.G.01","15+","15 years old and over","BOTHSEX","Both sexes","G","Global","PERCENT","Percentage","","","","G","G","","Global Financial Inclusion Database, World Bank.","Global Financial Inclusion Database, World Bank.","","","","","7.24","7.11","",2014.0,"7.11"
