"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_1990","Footnotes_1991","Footnotes_1992","Footnotes_1993","Footnotes_1994","Footnotes_1995","Footnotes_1996","Footnotes_1997","Footnotes_1998","Footnotes_1999","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_1990","Nature_Code_1991","Nature_Code_1992","Nature_Code_1993","Nature_Code_1994","Nature_Code_1995","Nature_Code_1996","Nature_Code_1997","Nature_Code_1998","Nature_Code_1999","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_1990","Source_1991","Source_1992","Source_1993","Source_1994","Source_1995","Source_1996","Source_1997","Source_1998","Source_1999","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_1990","TimeDetail_1991","TimeDetail_1992","TimeDetail_1993","TimeDetail_1994","TimeDetail_1995","TimeDetail_1996","TimeDetail_1997","TimeDetail_1998","TimeDetail_1999","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_1990","Value_1991","Value_1992","Value_1993","Value_1994","Value_1995","Value_1996","Value_1997","Value_1998","Value_1999","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"BGR","25.23763153","42.75731323","100","Bulgaria","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.62","5.40","8.17","6.19","12.73","16.12","18.45","18.34","16.91","13.94","13.05","15.13","10.41","7.10","10.38","14.69","5.49","3.97","3.24","2.52","1.71","1.28","1.27","5.08","1.09","1.18","1.48",2016.0,"1.48"
"MMR","96.51752295","21.19332882","104","Myanmar","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.25","26.96","8.01","12.94","14.41","19.11","11.59","7.71","5.15","4.88","0.44","0.20","0.24","0.19","0.15","0.13","0.12","0.14","0.09","0.10","0.05","0.02","9.68","0.54","0.46","0.40","0.61",2016.0,"0.61"
"BDI","29.89080992","-3.366387428","108","Burundi","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.68","29.57","35.34","35.47","38.98","27.27","53.35","30.17","41.30","46.17","34.83","46.41","54.57","62.12","134.71","40.41","20.36","18.46","11.86","16.48","2.32","4.21","8.87","13.56","12.97","13.44","31.72",2016.0,"31.72"
"","","","11","Western Africa","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.32","19.63","16.73","13.35","18.53","16.63","15.76","14.42","15.98","9.78","9.89","12.24","8.11","6.49","5.55","12.56","9.08","2.63","2.55","2.38","1.39","1.23","1.26","1.80","1.92","2.60","4.06",2016.0,"4.06"
"BLR","28.04940161","53.54193075","112","Belarus","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","4.15","3.36","1.60","1.70","1.92","3.38","3.62","2.98","2.33","1.92","1.62","1.36","1.09","1.18","1.00","2.37","2.21","3.95","7.42","7.49","9.19","11.11","10.28",2016.0,"10.28"
"KHM","104.922836","12.71163737","116","Cambodia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83","9.59","0.15","0.67","0.91","0.87","0.95","1.14","0.66","0.86","0.84","0.95","0.80","0.73","0.57","0.57","0.75","0.94","1.00","0.92","1.00","1.19","1.18","1.09","1.39",2016.0,"1.39"
"DZA","2.678164227","28.15940032","12","Algeria","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.76","70.91","","","","","","","","","","","","","","11.38","22.11","1.13","1.19","0.88","0.60","0.59","0.85","0.42","0.35","0.47","0.46",2016.0,"0.46"
"CMR","12.7419827","5.692387031","120","Cameroon","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.00","12.33","11.22","18.57","16.78","17.23","18.43","17.27","17.96","16.58","14.29","7.17","8.88","9.80","12.74","14.36","5.54","3.96","2.66","2.60","2.62","2.50","1.55","1.05","4.51","4.94","",2015.0,"4.94"
"","","","13","Central America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.09","18.77","25.91","16.99","16.03","22.37","32.28","31.81","13.52","13.34","15.42","13.31","11.11","11.98","11.88","9.88","13.56","7.17","6.96","7.01","5.95","5.32","8.63","5.60","4.54","6.28","9.26",2016.0,"9.26"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.4","Assist developing countries in attaining long-term debt sustainability through coordinated policies aimed at fostering debt financing, debt relief and debt restructuring, as appropriate, and address the external debt of highly indebted poor countries to reduce debt distress","17.4.1","Debt service as a proportion of exports of goods and services","1","DT_TDS_DECT","Debt service as a proportion of exports of goods and services (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","World Development Indicators, World Bank","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.89","14.52","18.59","12.08","14.03","10.28","7.45","10.46","16.87","15.88","11.44","8.17","11.86","7.26","7.93","9.58","6.43","4.97","4.25","5.69","5.56","4.95","4.57","4.63","4.77","6.21","5.79",2016.0,"5.79"
