"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","Bounds_Code","Bounds_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2015","Nature_Code_2015","Source_2015","TimeDetail_2015","Value_2015","Latest_Year","Latest_Value"
"","","","1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","LB","Lower bound","G","Global","NUM_TH","Thousands of people","When population distribution of interest is not available, country results by age, gender and/or urban/rural are weighted by total population in the computation of the regional/sub-regional aggregates. The observation value represents the 3-year average of the period 2014-2016.","E","Food and Agriculture Organisation of the United Nations (FAO)","","643935.0",2015.0,"643935.0"
"","","","1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","MP","Mid-point","G","Global","NUM_TH","Thousands of people","When population distribution of interest is not available, country results by age, gender and/or urban/rural are weighted by total population in the computation of the regional/sub-regional aggregates. The observation value represents the 3-year average of the period 2014-2016.","E","Food and Agriculture Organisation of the United Nations (FAO)","","666504.8",2015.0,"666504.8"
"","","","1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","UB","Upper bound","G","Global","NUM_TH","Thousands of people","When population distribution of interest is not available, country results by age, gender and/or urban/rural are weighted by total population in the computation of the regional/sub-regional aggregates. The observation value represents the 3-year average of the period 2014-2016.","E","Food and Agriculture Organisation of the United Nations (FAO)","","689074.6",2015.0,"689074.6"
"MMR","96.51752295","21.19332882","104","Myanmar","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","LB","Lower bound","G","Global","NUM_TH","Thousands of people","The observation value represents the 3-year average of the period 2014-2016.","G","Food and Agriculture Organisation of the United Nations (FAO)","","792.9",2015.0,"792.9"
"MMR","96.51752295","21.19332882","104","Myanmar","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","MP","Mid-point","G","Global","NUM_TH","Thousands of people","The observation value represents the 3-year average of the period 2014-2016.","G","Food and Agriculture Organisation of the United Nations (FAO)","","1109.9",2015.0,"1109.9"
"MMR","96.51752295","21.19332882","104","Myanmar","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","UB","Upper bound","G","Global","NUM_TH","Thousands of people","The observation value represents the 3-year average of the period 2014-2016.","G","Food and Agriculture Organisation of the United Nations (FAO)","","1427.0",2015.0,"1427.0"
"","","","11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","LB","Lower bound","G","Global","NUM_TH","Thousands of people","The observation value represents the 3-year average of the period 2014-2016.","E","Food and Agriculture Organisation of the United Nations (FAO)","","86198.2",2015.0,"86198.2"
"","","","11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","MP","Mid-point","G","Global","NUM_TH","Thousands of people","The observation value represents the 3-year average of the period 2014-2016.","E","Food and Agriculture Organisation of the United Nations (FAO)","","91118.3",2015.0,"91118.3"
"","","","11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","UB","Upper bound","G","Global","NUM_TH","Thousands of people","The observation value represents the 3-year average of the period 2014-2016.","E","Food and Agriculture Organisation of the United Nations (FAO)","","96038.4",2015.0,"96038.4"
"BLR","28.04940161","53.54193075","112","Belarus","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.2","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","1","AG_PRD_FIESSIN","Total population in severe food insecurity (thousands of people)","2019.Q1.G.01","15+","15 years old and over","LB","Lower bound","G","Global","NUM_TH","Thousands of people","The observation value represents the 3-year average of the period 2014-2016.","G","Food and Agriculture Organisation of the United Nations (FAO)","","28.1",2015.0,"28.1"
