"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Location_Code","Location_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"","","","1","World","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","","","","","E","","","","","E","","","","","E","E","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","77.72","","","","","80.37","","","","","83.54","","","","","87.03","87.35",2016.0,"87.35"
"","","","1","World","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","","","","","E","","","","","E","","","","","E","E","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","63.55","","","","","66.40","","","","","70.73","","","","","75.98","76.03",2016.0,"76.03"
"","","","1","World","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","","","","","E","","","","","E","","","","","E","E","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","","","","","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","94.47","","","","","95.04","","","","","95.67","","","","","96.59","96.95",2016.0,"96.95"
"BGR","25.23763153","42.75731323","100","Bulgaria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00"
"BGR","25.23763153","42.75731323","100","Bulgaria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00"
"BGR","25.23763153","42.75731323","100","Bulgaria","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00",2016.0,"100.00"
"MMR","96.51752295","21.19332882","104","Myanmar","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","G","E","E","E","E","E","E","E","G","E","E","E","G","G","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","44.11","44.87","47.00","46.35","47.08","47.82","48.58","49.35","50.15","50.96","48.80","52.64","53.51","54.38","52.00","60.50","57.01",2016.0,"57.01"
"MMR","96.51752295","21.19332882","104","Myanmar","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","G","E","E","E","E","E","E","E","G","E","E","E","G","G","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","28.88","29.57","32.15","30.87","31.49","32.11","32.74","33.37","34.01","34.68","34.30","36.07","36.79","37.53","49.00","48.90","39.79",2016.0,"39.79"
"MMR","96.51752295","21.19332882","104","Myanmar","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","G","E","E","E","E","E","E","E","G","E","E","E","G","G","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","85.35","85.56","85.78","85.99","86.20","86.42","86.65","86.89","87.15","87.41","89.00","87.98","88.27","88.57","85.50","90.80","89.48",2016.0,"89.48"
"BDI","29.89080992","-3.366387428","108","Burundi","7","Ensure access to affordable, reliable, sustainable and modern energy for all","7.1","By 2030, ensure universal access to affordable, reliable and modern energy services","7.1.1","Proportion of population with access to electricity","1","EG_ELC_ACCS","Proportion of population with access to electricity, by urban/rural (%)","2019.Q1.G.01","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","E","E","E","E","E","G","E","E","G","E","G","E","G","E","G","E","E","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","Source: Global Tracking Framework 2018","","","","","","","","","","","","","","","","","","3.38","3.59","3.79","3.98","4.18","3.21","4.59","4.82","4.80","5.34","5.30","5.94","6.50","6.58","7.00","7.25","7.59",2016.0,"7.59"
