"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"","","","1","World","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","","","","","","","","","","","","","","","","","","","15.99","15.81","15.69","15.85","15.74","15.65","15.63","15.47","15.11","14.69","14.5","14.43","14.35","14","13.71","13.43","13.21","13.11",2017.0,"13.11"
"BGR","25.23763153","42.75731323","100","Bulgaria","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download; Break in series: Methodology revised","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download; Break in series: Methodology revised","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download; Break in series: Methodology revised","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download; Break in series: Methodology revised","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download; Break in series: Methodology revised","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download; Break in series: Methodology revised","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: Eurostat special tabulation | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  EU Labour Force Survey","","","","","","","","","","","","","","","","","","","23.42","24.06","23.81","23.34","23.87","24.45","23.96","23.56","22.9","21.94","20.53","20","20.57","19.64","19.61","19.71","19.52","19.1",2017.0,"19.1"
"MMR","96.51752295","21.19332882","104","Myanmar","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers; Break in series: Methodology revised","","","","","","","","","","","","","","","","","","CA","","","","","","","","","","","","","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.87","","",2015.0,"10.87"
"BDI","29.89080992","-3.366387428","108","Burundi","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","Geographical coverage: Main cities or metropolitan areas","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête sur les conditions de vie des ménages au Burundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.72","","","",2014.0,"12.72"
"BLR","28.04940161","53.54193075","112","Belarus","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","Repository: NSO","","","","","","","Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Economic activity coverage: All economic activities |  | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 74 years old","","","","","","","","","","","C","","","","","","","C","","","","","","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Population census","","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Sample survey of households in order to study employment problems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.15","","","","","","","18.07","",2016.0,"18.07"
"KHM","104.922836","12.71163737","116","Cambodia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Repository: KILM | Data reference period: November | Age coverage - minimum age: 10 years old","Repository: KILM | Data reference period: November | Age coverage - minimum age: 10 years old","","","Data reference period: November | Age coverage - minimum age: 10 years old | Age coverage - maximum age: None","","","","Repository: KILM","","Age coverage - minimum age: 15 years old | Age coverage - maximum age: 64 years old","","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing; Break in series: Methodology revised","","","","","","C","C","","","C","","","","C","","C","","CA","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Population census","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) - Economic Survey","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour force survey","","","","","","","","","","","","","","","","","","","","","","","","6.96","8.73","","","3.33","","","","6.23","","10.89","","17.42","","","","","",2012.0,"17.42"
"DZA","2.678164227","28.15940032","12","Algeria","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","Data reference period: September","","Data reference period: September","Data reference period: September","","","","","","","","","","Data reference period: September","","","","","C","","C","C","","","","","","","","","","C","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête Emploi auprès des Ménages","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête Emploi auprès des Ménages","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête Emploi auprès des Ménages","","","","","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête Emploi auprès des Ménages","","","","","","","","","","","","","","","","","","","","","","","10.14","","9.23","10.86","","","","","","","","","","11.32","","","",2014.0,"11.32"
"CMR","12.7419827","5.692387031","120","Cameroon","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","Repository: KILM | Data reference period: Average of 2 monthly points","","","","","","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO-STATISTICS - Micro data processing","","","","","","","","","","","","C","","","","","","CA","","","","","","","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Autre enquête auprès des ménages","","","","","","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Enquête camerounaise auprès des ménages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.77","","","","","","8.56","","","","","","","","","","",2007.0,"8.56"
"CAN","-101.6575058","57.72360191","124","Canada","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: OECD | Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","Geographical coverage: Total national, excluding some areas","Repository: ILO-STATISTICS - Short term indicators of the labour market | Repository: ILO - Bulk download","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","ILOSTAT: Employment by sex and economic activity (available at http://www.ilo.org/ilostat) -  Labour Force Survey","","","","","","","","","","","","","","","","","","","15.19","14.88","14.97","14.54","14.43","13.67","12.82","12.08","11.33","10.43","10.08","10","10.02","9.74","9.61","9.54","9.64","9.37",2017.0,"9.37"
"","","","135","Caucasus and Central Asia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.2","Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries","9.2.2","Manufacturing employment as a proportion of total employment","1","SL_TLF_MANF","Manufacturing employment as a proportion of total employment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","ILO Trends Econometric Models, November 2017","","","","","","","","","","","","","","","","","","","10.99","11.06","10.85","11.15","11.49","11.87","11.91","11.91","12.81","12.93","12.86","12.65","12.35","12.32","12.27","12.18","12.02","12.09",2017.0,"12.09"
