"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value"
"MMR","96.51752295","21.19332882","104","Myanmar","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","16.21068","11.68483","19.51541","25.01872","39.85471","71.2882","35.04296","330.11714","156.66278","333.8867","478.50472",2016.0,"478.50472"
"BDI","29.89080992","-3.366387428","108","Burundi","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","48.66842","94.67061","66.25346","78.71697","110.24753","107.32983","149.45496","139.78118","141.79228","89.77426","80.58103",2016.0,"80.58103"
"BLR","28.04940161","53.54193075","112","Belarus","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","2.02553","3.69883","5.77955","7.51172","29.28065","6.10872","5.71869","14.8802","15.12805","13.74075","14.94544",2016.0,"14.94544"
"KHM","104.922836","12.71163737","116","Cambodia","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","104.71699","129.95454","131.28636","121.34596","193.74594","219.9132","233.83364","256.04028","294.95426","220.66036","232.77039",2016.0,"232.77039"
"DZA","2.678164227","28.15940032","12","Algeria","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","121.20805","101.25038","95.2874","91.48079","38.29749","43.96976","26.19478","32.71211","35.44463","15.57272","15.57956",2016.0,"15.57956"
"CMR","12.7419827","5.692387031","120","Cameroon","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","115.53738","142.59313","118.79671","128.18433","144.86166","127.66554","187.7471","259.71077","301.09145","197.98543","210.69618",2016.0,"210.69618"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","42.022","40.35705","90.04389","71.86134","147.63607","80.04472","67.19673","53.6305","79.25212","53.41218","40.89224",2016.0,"40.89224"
"CAF","20.93559492","7.003720791","140","Central African Republic","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","58.49712","27.15011","16.54064","24.81767","31.85611","80.49149","51.57255","15.67525","22.4846","18.53112","23.79828",2016.0,"23.79828"
"LKA","80.70489654","7.614693343","144","Sri Lanka","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","261.58816","220.75729","341.6611","386.54777","312.14288","386.07365","394.83768","356.77037","428.65353","388.75063","293.15395",2016.0,"293.15395"
"TCD","18.66618401","15.36279341","148","Chad","8","Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all","8.a","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-related Technical Assistance to Least Developed Countries","8.a.1","Aid for Trade commitments and disbursements","1","DC_TOF_TRDDBML","Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","G","Global","CON_USD","Constant USD","UNIT","Units","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","","","","","","","","","","","","50.57347","30.23639","59.69849","68.69856","24.69674","55.5039","41.49435","44.46417","45.03346","87.81767","76.44252",2016.0,"76.44252"
