"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2017","Nature_Code_2017","Source_2017","TimeDetail_2017","Value_2017","Latest_Year","Latest_Value"
"","","","1","World","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Based on 61 countries out of 151 countries sharing transboundary aquifers","G","Source: Values aggregated by custodian agencies; ","","48.46",2017.0,"48.46"
"BGR","25.23763153","42.75731323","100","Bulgaria","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","C","Source: Relevant country authority; ","","98",2017.0,"98"
"MMR","96.51752295","21.19332882","104","Myanmar","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","No data received","NA","Data compiled by UNECE and UNESCO as co-custodians","","NA",2017.0,"NA"
"BDI","29.89080992","-3.366387428","108","Burundi","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","C","Source: Relevant country authority; ","","79.39",2017.0,"79.39"
"BLR","28.04940161","53.54193075","112","Belarus","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","No data provided for transboundary aquifers","NA","Source: Relevant country authority; ","","NA",2017.0,"NA"
"KHM","104.922836","12.71163737","116","Cambodia","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","No data received","NA","Data compiled by UNECE and UNESCO as co-custodians","","NA",2017.0,"NA"
"DZA","2.678164227","28.15940032","12","Algeria","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Further information needed for transboundary aquifers","NA","Source: Relevant country authority; ","","NA",2017.0,"NA"
"CMR","12.7419827","5.692387031","120","Cameroon","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Further information needed for transboundary aquifers","NA","Source: Relevant country authority; ","","NA",2017.0,"NA"
"CAN","-101.6575058","57.72360191","124","Canada","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","C","Source: Relevant country authority; ","","0",2017.0,"0"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.2","Proportion of transboundary basin area with an operational arrangement for water cooperation","2","EG_TBA_H2COAQ","Proportion of transboundary aquifers with an operational arrangement for water cooperation (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","Value not relevant for the country","NA","Data compiled by UNECE and UNESCO as co-custodians","","N",2017.0,"N"
