"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Freq_Code","Freq_Desc","Location_Code","Location_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value"
"MMR","96.51752295","21.19332882","104","Myanmar","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","","","","","","","","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.67731","79.77509","79.87396","79.97338",2015.0,"79.97338"
"MMR","96.51752295","21.19332882","104","Myanmar","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","","","","","","","","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.776","73.776","73.776","73.776",2015.0,"73.776"
"MMR","96.51752295","21.19332882","104","Myanmar","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","","","","","","","","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.9512","91.9512","91.9512","91.9512",2015.0,"91.9512"
"BDI","29.89080992","-3.366387428","108","Burundi","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","","","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","","","5.89926","5.94742","5.99695","6.04726","6.09893","6.15178","6.20579","6.26097","6.31732","",2014.0,"6.31732"
"BDI","29.89080992","-3.366387428","108","Burundi","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","","","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","","","4.02402","4.02402","4.02402","4.02402","4.02402","4.02402","4.02402","4.02402","4.02402","",2014.0,"4.02402"
"BDI","29.89080992","-3.366387428","108","Burundi","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","","","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","","","23.52325","23.52325","23.52325","23.52325","23.52325","23.52325","23.52325","23.52325","23.52325","",2014.0,"23.52325"
"","","","11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","11.4887100000000","12.0433600000000","12.2133600000000","12.3848000000000","12.6171400000000","12.7807900000000","12.9853200000000","13.1527000000000","13.3010700000000","13.4489800000000","13.5907500000000",2015.0,"13.5907500000000"
"","","","11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","RURAL","Rural","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","6.7877600000000","7.1285600000000","7.1898600000000","7.2515100000000","7.6795800000000","7.7387000000000","8.0290400000000","8.0989900000000","8.1356700000000","8.1725000000000","8.1888500000000",2015.0,"8.1888500000000"
"","","","11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","URBAN","Urban","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","E","E","E","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","19.1434100000000","19.8174700000000","19.9295000000000","20.0410200000000","19.7683700000000","19.8721600000000","19.7567600000000","19.8623100000000","19.9680800000000","20.0724600000000","20.1884900000000",2015.0,"20.1884900000000"
"KHM","104.922836","12.71163737","116","Cambodia","6","Ensure availability and sustainable management of water and sanitation for all","6.2","By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations","6.2.1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","1","SH_SAN_HNDWSH","Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","2019.Q1.G.01","ANNUAL","Global","ALLAREA","All areas","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","","","","","","","","","E","E","E","E","E","E","E","E","","","","","","","","","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2017)","","","","","","","","","","","","","","","","","","","","","","","","","65.2433","65.28132","65.32248","65.36736","65.41596","65.46798","65.52372","65.58346",2015.0,"65.58346"
