"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value"
"","","","1","World","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","14.8","14.8","14.9","14.8","14.6","14.1","13.5","12.9","12.3","11.9","11.5","11.2","11","10.8","10.7","10.7",2015.0,"10.7"
"BGR","25.23763153","42.75731323","100","Bulgaria","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","4.8","5.1","5.6","6","6.3","6.5","6.4","6.2","5.8","5.7","5.6","5.4","5","4.4","3.8","3.4",2015.0,"3.4"
"MMR","96.51752295","21.19332882","104","Myanmar","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","48.4","45","41.4","38.3","35.3","32.1","28.5","25","21.7","19.1","16.9","15.5","14.7","14.4","14.4","16.9",2015.0,"16.9"
"","","","11","Western Africa","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","15.4","14.9","14.6","13.9","13","12","11.3","10.8","10.4","10.2","10","9.9","9.9","9.8","10","10.6",2015.0,"10.6"
"BLR","28.04940161","53.54193075","112","Belarus","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","<2.5","<2.5","3.2","3.7","3.6","3","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5",2015.0,"<2.5"
"KHM","104.922836","12.71163737","116","Cambodia","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","29.2","25.9","23.3","21.8","20.8","20","19.2","18.8","18.7","18.8","18.8","18.6","18","17.1","16.1","15.3",2015.0,"15.3"
"DZA","2.678164227","28.15940032","12","Algeria","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","10.7","10.2","9.7","9.3","9","8.8","8.4","8","7.5","7","6.3","5.6","5","4.7","4.6","4.6",2015.0,"4.6"
"CMR","12.7419827","5.692387031","120","Cameroon","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","30.6","28.3","26.3","24.2","22.3","20.2","18.2","16.3","14.5","13","11.6","10.2","9.1","8.3","7.9","7.9",2015.0,"7.9"
"CAN","-101.6575058","57.72360191","124","Canada","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5","<2.5",2015.0,"<2.5"
"","","","13","Central America","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.1","By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round","2.1.1","Prevalence of undernourishment","1","SN_ITK_DEFC","Prevalence of undernourishment (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","Data refer to provisional estimates","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","FAO, Statistics Division","","","","","","","","","","","","","","","","","8.3","7.8","7.9","8.3","8.5","8.3","7.8","7.4","7.3","7.3","7.2","7.1","7.1","7","6.9","6.7",2015.0,"6.7"
