"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Age_Code","Age_Desc","Sex_Code","Sex_Desc","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"","","","1","World","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","Based on 106 countries covering 63 per cent of the regional population of women aged 20-24 years","","","","","Based on 106 countries covering 63 per cent of the regional population of women aged 20-24 years","","","","Based on 106 countries covering 63 per cent of the regional population of women aged 20-24 years","","","","","Based on 106 countries covering 63 per cent of the regional population of women aged 20-24 years","E","","","","","E","","","","E","","","","","E","DHS, MICS and other national surveys","","","","","DHS, MICS and other national surveys","","","","DHS, MICS and other national surveys","","","","","DHS, MICS and other national surveys","","","","","","","","","","","","","","","","27.6","","","","","25.4","","","","22.2","","","","","20.9",2017.0,"20.9"
"MMR","96.51752295","21.19332882","104","Myanmar","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","DHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0","","",2015.0,"16.0"
"BDI","29.89080992","-3.366387428","108","Burundi","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","DHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.4","","","","","","","",2010.0,"20.4"
"BLR","28.04940161","53.54193075","112","Belarus","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","","","","","",2012.0,"3.2"
"KHM","104.922836","12.71163737","116","Cambodia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","DHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","","","",2014.0,"18.5"
"DZA","2.678164227","28.15940032","12","Algeria","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","",2013.0,"2.5"
"CMR","12.7419827","5.692387031","120","Cameroon","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0","","","",2014.0,"31.0"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","DHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0","","","","","","","","","","","",2005.0,"18.0"
"CAF","20.93559492","7.003720791","140","Central African Republic","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","","","","","","","","","","","","","","","","","","","","","","","C","","","","","","","","","","","","","","","MICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.9","","","","","","","",2010.0,"67.9"
"","","","143","Central Asia","5","Achieve gender equality and empower all women and girls","5.3","Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation","5.3.1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","1","SP_DYN_MRBF18","Proportion of women aged 20-24 years who were married or in a union before age 18 (%)","2019.Q1.G.01","20-24","20 to 24 years old","FEMALE","Female","G","Global","PER_MARW_20T24Y","% of married women aged 20-24 years","Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years","","","","","Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years","","","","Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years","","","","","Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years","E","","","","","E","","","","E","","","","","E","DHS, MICS and other national surveys","","","","","DHS, MICS and other national surveys","","","","DHS, MICS and other national surveys","","","","","DHS, MICS and other national surveys","","","","","","","","","","","","","","","","15.4","","","","","10.5","","","","7.2","","","","","8.7",2017.0,"8.7"
