SELECT,seriesCode,countryAttributeId,seriesId,seriesName,sourceId,tableId,newSeriesName,units,multiplier,baseYear,dim_expenditureType,dim_pesonnelType,dim_industry,dim_typeOfSpecies,dim_typeOfODA,dim_location,dim_ageGroup,dim_sex,dim_educationLevel
,%ger_pri_M,,1641,Gross enrollement ratio - Primary (male),24,1,Gross education enrollment ratio,Ratio,,,,,,,,,,MALE,Primary
,%gre_pri_F,,1629,Gross enrollment ratio - Primary (female),24,1,Gross educatoin enrollment ratio,Ratio,,,,,,,,,,FEMALE,Primary
,%ger_sec_F,,1642,Gross enrollment ratio - Secondary (female),24,1,Gross educatoin enrollment ratio,Ratio,,,,,,,,,,FEMALE,Secondary
,%ger_sec_M,,1630,Gross enrollment ratio - Secondary (male),24,1,Gross educatoin enrollment ratio,Ratio,,,,,,,,,,MALE,Secondary
,%gre_ter_F,,1643,Gross enrollment ratio - Tertiary (female),24,1,Gross educatoin enrollment ratio,Ratio,,,,,,,,,,FEMALE,Tertiary
,%ger_ter_M,,1631,Gross enrollment ratio - Tertiary (male),24,1,Gross educatoin enrollment ratio,Ratio,,,,,,,,,,MALE,Tertiary
,tot-prim,,82,Students enrolled in primary education (thousands),24,1,Number of students enrolled in formal education,Number of students,3,,,,,,,,,BOTH,Primary
,tot-sec,,84,Students enrolled in secondary education (thousands),24,1,Number of students enrolled in formal education,Number of students,3,,,,,,,,,BOTH,Secondary
,tot-ter,,86,Students enrolled in tertiary education (thousands),24,1,Number of students enrolled in formal education,Number of students,3,,,,,,,,,BOTH,Tertiary
,Invertebr,,387,Threatened Species: Invertebrates (number),41,5,Threatened species,Number of species,,,,,,Invertebrates,,,,,
,T-Plant,,390,Threatened Species: Plants (number),41,5,Threatened species,Number of species,,,,,,Plants,,,,,
,T-Total,,391,Threatened Species: Total (number),41,5,Threatened species,Number of species,,,,,,Total,,,,,
,vertebr,,10,Threatened Species: Vertebrates (number),41,5,Threatened species,Number of species,,,,,,Vertebrates,,,,,
,RD-%GDP,,1393,Gross domestic expenditure on R & D: as a percentage of GDP (%),76,6,Gross domestic expenditure on R & D as a percentage of GDP,Percent,,,,,,,,,,,
,RD-BusEnt,,204,Gross domestic expenditure on R & D: Business enterprises (%),76,6,Gross domestic expenditure on R & D: Business enterprises,Percent,,,,,,,,,,,
,RD-Abroad,,205,Gross domestic expenditure on R & D: Funds from abroad (%),76,6,Gross domestic expenditure on R & D: Funds from abroad,Percent,,,,,,,,,,,
