No.	SDMX_CODE	SeriesCode	HubItemId	Profile.Series	Goal.ID	Goal.Name	P.IndicatorCode	P.IndicatorName.2017	Age	Location	Sex	Bounds	Education level	Type of product	Type of mobile technology	Type of speed	zero.removal	Text.type	unit1	unit2	DA2.1	DA2.2	DA3.1	DA3.2	Down	Up
1	SI_POV_DAY1	SI_POV_DAY1	ed6ee35ad584405b8f3ef2abc22f6948	1	1	Goal 1: End poverty in all its forms everywhere	C010101	Population below international poverty line									1	1	%	%	The proportion of the population living below the extreme poverty line was approximately 		The proportion of the population living below the extreme poverty line		 declined from 	 increased from 
2	SI_POV_EMP1	SI_POV_EMP1	deb1f4a7e2e14d78a113c53cba2838de	1	1	Goal 1: End poverty in all its forms everywhere	C010101	Employed population below international poverty line	15+		BOTHSEX						1	2	% 	%	 of the country's workers and their families were living on less than 1.90 US dollars per person per day		 of the country's workers and their families were living on less than 1.90 US dollars per person per day		 down from 	 up from 
3	SI_POV_NAHC	SI_POV_NAHC	f4cb37d065aa4b6981d93e8266f63fd0	1	1	Goal 1: End poverty in all its forms everywhere	C010201	Proportion of population living below the national poverty line		ALLAREA							1	1	%		The proportion of population living below the national poverty line was 		The proportion of population living below the national poverty line		 declined from 	 increased from 
4	SH_STA_STNT	SH_STA_STUNT	8c0866ad73ae486ba647f5490fed5529	1	2	Goal 2: End hunger, achieve food security and improved nutrition and promote sustainable agriculture	C020201	Proportion of children moderately or severely stunted	<5Y			MP					1	2	% 	%	of children under age 5 had stunted growth		of children under age 5 had stunted growth		 a decline from 	 up from 
5	SH_STA_WAST	SH_STA_WASTE	30ea76b4f4094d4aa7645a213ccaa4b9		2	Goal 2: End hunger, achieve food security and improved nutrition and promote sustainable agriculture	C020202	Proportion of children moderately or severely wasted	<5Y								1									
6	SN_ITK_DEFC	SN_ITK_DEFC	65925035bb984f66aa03480f6754c4fe	1	2	Goal 2: End hunger, achieve food security and improved nutrition and promote sustainable agriculture	C020101	Prevalence of undernourishment									0	7	%	%	The proportion of the population suffering from hunger was 		The proportion of the population suffering from hunger was 		 declined from 	 increased from
7	SN_STA_OVWGT	SH_STA_OVRWGT	a012070afbd3486d9c0596352b9698d6	1	2	Goal 2: End hunger, achieve food security and improved nutrition and promote sustainable agriculture	C020202	Proportion of children moderately or severely overweight	<5Y			MP					1	1	%	%	The share of overweight children under age 5 was 		The share of overweight children under age 5		 decreased from 	 increased from 
8	SH_DYN_MORT	SH_DYN_MORT	216c7516b9444f289e8f7910c8726e9f	1	3	Goal 3: Ensure healthy lives and promote well-being for all at all ages	C030201	Under-five mortality rate	<5Y		BOTHSEX						0	1	 per 1,000 live births	 per 1,000 live births 	The mortality rate of children under age 5 was 		The mortality rate of children under age 5		 fell from 	 increased from 
9	SH_HIV_INCD	SH_HIV_INCD	954b5087e440421ba26a3213c99d9a9f	1	3	Goal 3: Ensure healthy lives and promote well-being for all at all ages	C030301	HIV incidence	ALLAGE		BOTHSEX						1	13	 people	people	there were about 	 in every 100,000 uninfected population that became newly infected with HIV	there were about 	 in every 100,000 uninfected population that became newly infected with HIV		
10	SH_STA_MALR	SH_STA_MALR	1a967f6f5fe64fc5b27f49a5c20e4fe4		3	Goal 3: Ensure healthy lives and promote well-being for all at all ages	C030303	Malaria incidence rate									1									
11	SH_STA_MORT	SH_STA_MMR	0c846dfa5bab411c9a1a21ae40dd0232	1	3	Goal 3: Ensure healthy lives and promote well-being for all at all ages	C030101	Maternal mortality ratio				MP					0	14	 per 100,000 live births		The maternal mortality ratio was 		The maternal mortality ratio		 decreased from 	 increased from 
12	SH_TBS_INCD	SH_TBS_INCID	dc8f11cd784344f18d0478072691b943		3	Goal 3: Ensure healthy lives and promote well-being for all at all ages	C030302	Tuberculosis incidence									1									
56	SH_DTH_NCOM	SH_DTH_NCOM	512b7b1d05a14b90853ea5ca1d003b1b	1	3	Goal 3: Ensure healthy lives and promote well-being for all at all ages	C030401	Mortality rate from cardiovascular disease, cancer, diabetes or chronic respiratory disease	30-70		BOTHSEX						0	1	%		The risk of dying between the ages of 30 and 70 from one of four main non-communicable diseases (NCDs) - cardiovascular disease, cancer, diabetes or chronic respiratory disease - was 		The risk of dying between the ages of 30 and 70 from one of four main non-communicable diseases (NCDs) - cardiovascular disease, cancer, diabetes or chronic respiratory disease -		 fell from 	 increased from 
13	SE_PRM_GPIMATH	SE_GPI_MATACH	c24e8fbbada54780b6c36fd899f864b2	1	4	Goal 4: Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	C040501	Gender parity index for achievement in mathematics by the end of primary					PRIMAR				0	4			Gender parity index for achievement in mathematics at the end of primary education was 	 girls per 100 boys achieved at least a minimum proficiency level in mathematics	Gender parity index for achievement in mathematics at the end of primary education was 	 girls per 100 boys achieved at least a minimum proficiency level in mathematics		
14	SE_PRM_GPIRDNG	SE_GPI_REAACH	7f75a26e77c7487e993799b22ad7ba88	1	4	Goal 4: Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	C040501	Gender parity index for achievement in reading by the end of primary					PRIMAR				0	4			Gender parity index for achievement in reading at the end of primary education was 	 girls per 100 boys achieved at least a minimum proficiency level in reading	Gender parity index for achievement in reading at the end of primary education was 	 girls per 100 boys achieved at least a minimum proficiency level in reading		
15	SE_PRM_GPITCH	SE_GPI_TRATEA	8f2dd8895e1242db8ef4ca25415d609d		4	Goal 4: Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	C040501	Gender parity index of trained teachers in primary education					PRIMAR				0				Gender parity index for primary school teachers who were trained was 	female primary school teachers per 100 male primary school teachers were trained	Gender parity index for primary school teachers who were trained was 	female primary school teachers per 100 male primary school teachers were trained, 	 a decline from 	 an increase from 
57	SE_PRE_PARTN	SE_PRE_PARTN	3459681b792a4979a9d9731c75f7f80d	1	4	Goal 4: Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	C040202	Participation rate in organized learning			BOTHSEX						0	2	% 		of children participated in pre-primary or primary education in the year prior to the official entrance age for primary school		of children participated in pre-primary or primary education in the year prior to the official entrance age for primary school		 down from 	 up from 
16	IC_GEN_MGTL	IC_GEN_MGTL	32abbaca0c3a47c0aae18f50bd7e8f56		5	Goal 5: Achieve gender equality and empower all women and girls	C050502	Women in managerial positions			FEMALE						0									
